id,utterance,normalised_key,intent,source,language
syn-12,remember that Dr Weber's office is on 4th floor,remember that dr webers office is on 4th floor,save_memory,synthetic_filtered,en
syn-13,store my passport in the drawer,store my passport in the drawer,save_memory,synthetic_filtered,en
syn-14,remember my dog's medication is 2 pills daily,remember my dogs medication is 2 pills daily,save_memory,synthetic_filtered,en
syn-15,guarda en memoria que la clave es 8877 (= save in memory key is 8877),guarda en memoria que la clave es 8877 save in memory key is 8877,save_memory,synthetic_filtered,es
syn-16,save that my license plate is ZH 49201,save that my license plate is zh 49201,save_memory,synthetic_filtered,en
syn-17,note that the gate code is 9012,note that the gate code is 9012,save_memory,synthetic_filtered,en
syn-21,keep in mind my blood type is O positive,keep in mind my blood type is o positive,save_memory,synthetic_filtered,en
syn-22,save my doctor's phone number as +41442111111,save my doctors phone number as 41442111111,save_memory,synthetic_filtered,en
syn-23,set a timer for 15 minutes,set a timer for 15 minutes,set_timer,synthetic_filtered,en
syn-24,timer 10 minutes,timer 10 minutes,set_timer,synthetic_filtered,en
syn-26,set a 45 minute countdown for pizza,set a 45 minute countdown for pizza,set_timer,synthetic_filtered,en
syn-27,stoppuhr auf 5 minuten stellen (= set stopwatch to 5 minutes),stoppuhr auf 5 minuten stellen set stopwatch to 5 minutes,set_timer,synthetic_filtered,de
syn-28,stelle einen timer für 20 minuten (= set a timer for 20 minutes),stelle einen timer für 20 minuten set a timer for 20 minutes,set_timer,synthetic_filtered,de
syn-29,met un minuteur de 10 minutes (= set a 10 minute timer),met un minuteur de 10 minutes set a 10 minute timer,set_timer,synthetic_filtered,fr
syn-30,pon un temporizador de 30 minutos (= set a 30 minute timer),pon un temporizador de 30 minutos set a 30 minute timer,set_timer,synthetic_filtered,es
syn-33,timer 25 minutes for baking,timer 25 minutes for baking,set_timer,synthetic_filtered,en
syn-34,start a 5 minute timer,start a 5 minute timer,set_timer,synthetic_filtered,en
syn-35,set timer for 1 hour,set timer for 1 hour,set_timer,synthetic_filtered,en
syn-38,set a timer for 8 minutes for eggs,set a timer for 8 minutes for eggs,set_timer,synthetic_filtered,en
syn-39,countdown 12 minutes,countdown 12 minutes,set_timer,synthetic_filtered,en
syn-41,set a 30 minute timer,set a 30 minute timer,set_timer,synthetic_filtered,en
syn-43,timer for 15 minutes,timer for 15 minutes,set_timer,synthetic_filtered,en
syn-44,start a countdown of 3 minutes,start a countdown of 3 minutes,set_timer,synthetic_filtered,en
